entry_time,exit_time,side,qty,entry_price,exit_price,costs,net_pnl,exit_reason
2022-01-03 21:00:00+00:00,2022-01-04 14:35:00+00:00,LONG,25.0,390.26704499999994,390.44376000000005,6.832124999998257,4.41787500000288,overnight_exit
2022-01-04 21:00:00+00:00,2022-01-05 14:35:00+00:00,LONG,25.0,385.13550599999996,383.166672,6.7208499999992455,-49.22084999999896,overnight_exit
2022-01-05 21:00:00+00:00,2022-01-06 14:35:00+00:00,LONG,26.0,373.14190899999994,371.171472,6.771361999999158,-51.231361999998626,overnight_exit
2022-01-06 21:00:00+00:00,2022-01-07 14:35:00+00:00,LONG,26.0,373.031876,372.77083200000004,6.787143999999216,-6.787143999999216,overnight_exit
2022-01-07 21:00:00+00:00,2022-01-10 14:35:00+00:00,LONG,27.0,368.93064599999997,363.82441200000005,6.918317999998635,-137.8683179999977,overnight_exit
2022-01-10 21:00:00+00:00,2022-01-11 14:35:00+00:00,LONG,27.0,369.44079899999997,368.25264,6.970292999999401,-32.080292999999585,overnight_exit
2022-01-11 21:00:00+00:00,2022-01-12 14:35:00+00:00,LONG,26.0,374.842419,377.079108,6.846085999999673,58.15391400000033,overnight_exit
2022-01-12 21:00:00+00:00,2022-01-13 14:35:00+00:00,LONG,26.0,376.322863,377.349,6.860438000000386,26.679562000000146,overnight_exit
2022-01-13 21:00:00+00:00,2022-01-14 14:35:00+00:00,LONG,27.0,366.830016,364.074312,6.904007999999465,-74.40400799999946,overnight_exit
2022-01-14 21:00:00+00:00,2022-01-18 14:35:00+00:00,LONG,27.0,369.17071799999997,363.14468400000004,6.912917999998456,-162.70291799999796,overnight_exit
2022-01-18 21:00:00+00:00,2022-01-19 14:35:00+00:00,LONG,27.0,360.178021,361.165476,6.818714999999941,26.661285000000305,overnight_exit
2022-01-19 21:00:00+00:00,2022-01-20 14:35:00+00:00,LONG,27.0,356.026776,358.936368,6.761015999998278,78.55898400000086,overnight_exit
2022-01-20 21:00:00+00:00,2022-01-21 14:35:00+00:00,LONG,28.0,351.255345,348.890388,6.858795999999984,-66.21879600000011,overnight_exit
2022-02-02 21:00:00+00:00,2022-02-03 14:35:00+00:00,LONG,27.0,357.98736399999996,348.06072,6.6593879999985575,-268.01938799999874,overnight_exit
2022-02-03 21:00:00+00:00,2022-02-04 14:35:00+00:00,LONG,28.0,343.473011,343.692468,6.735203999998475,6.144796000000952,overnight_exit
