signal_ts,s,date,side,hold_bars,exit_type,ret_trigger_bps,ret_fill_bps,ret_with_stop_bps,stopped,tod_bucket,f01_atr5_bps,f02_atr5_slope_3,f03_bar_range_over_atr,f04_rsi_jump,f05_bars_since_cross,f06_buffer_over_range,f07_minutes_since_open,f08_ret_since_open_bps,f09_dist_from_vwap_bps,f10_session_range_over_adr,f11_overnight_gap_bps,f17_day_of_week,f12_spy_align,f13_qqq_align,f14_spy_dia_corr_20,f15a_spy_rvol20,f15b_spy_rvol20_chg,f16a_is_fomc_day,f16b_days_to_fomc,selected_oof
2018-01-10 11:40:00-05:00,2053,2018-01-10,long,30,recross,7.101151964651191,7.101151964651191,7.101151964651191,False,midday,4.836296826558701,-0.6166033510058329,1.1421040127510855,1.552693722968506,28.0,0.14285714285712778,125.0,11.454753722795768,16.52626814616786,1.033322359998558,-23.64345667336654,2,-0.1824917422488248,-9.887529353602709,0.8864666765769259,,,0.0,21.0,False
2018-01-12 15:25:00-05:00,2254,2018-01-12,long,6,eod,11.298382118274015,11.298382118274015,11.298382118274015,False,close,5.905663793832842,1.9914736156583777,1.177037265303291,3.2266845406878986,2.0,0.11173184357543546,350.0,31.55434359174142,4.634641118351665,1.1212729443686,41.85737198294383,4,-2.3401918957355328,-2.140988990937398,0.9562876377724574,,,0.0,19.0,True
2018-01-19 14:10:00-05:00,2551,2018-01-19,long,21,eod,23.872781179007532,23.872781179007532,23.872781179007532,False,close,4.5459281339311275,-0.262248690785988,1.2706135047883,4.552437081605021,62.0,0.13333333333335354,275.0,-13.843491636224327,0.5463344067492782,0.7591546672196594,-4.228167281673341,4,6.43822877173017,9.528398482201439,0.8918811465605649,,,0.0,12.0,True
2018-01-23 12:35:00-05:00,2688,2018-01-23,long,2,recross,-7.256339749465236,-7.256339749465236,-7.2563397494630655,True,midday,5.266306821350604,-0.01415813673388655,1.0879040069549106,3.6595308889478417,7.0,0.13333333333335354,180.0,-0.5728908070116625,-2.2710032062362067,0.6982231424857033,-5.344123372906943,1,4.416414931016632,12.410614029902955,0.885199047748404,,,0.0,8.0,False
2018-01-23 12:45:00-05:00,2690,2018-01-23,short,2,recross,-8.405638773118419,-8.405638773118419,-7.572337612345775,True,midday,5.169421857048088,0.01658406362071929,1.1689024940263133,-4.091130567463395,2.0,0.126502213788749,190.0,7.084749646716971,8.644979313682247,0.6982231424857033,5.344123372906943,1,2.472886565160204,-1.1812651349596415,0.8869328181565489,,,0.0,8.0,False
2018-01-23 13:00:00-05:00,2693,2018-01-23,long,3,recross,-1.7184098980416205,-1.7184098980416205,-1.7184098980416205,False,midday,5.140069158451874,-0.029352698596214033,1.1516885170471298,5.392206745896289,3.0,0.12903225806449153,205.0,0.19096360233722082,-1.266153773337878,0.6982231424857033,-5.344123372906943,1,-2.825257804776049,-11.214732617164103,0.899904493573246,,,0.0,8.0,True
2018-01-23 13:20:00-05:00,2697,2018-01-23,long,11,recross,-5.215798906896355,-5.215798906896355,-4.452138744830919,True,midday,5.06561321157612,0.037622198926309025,0.5775116525288158,2.600813012088068,1.0,0.2610966057441768,225.0,0.38192720467444163,-1.0307784959285589,0.6982231424857033,-5.344123372906943,1,2.473585639068965,-2.6587102301256493,0.846520970414278,,,0.0,8.0,True
2018-01-23 14:20:00-05:00,2709,2018-01-23,short,5,recross,-6.626160724521958,-6.626160724521958,-6.626160724521958,False,close,5.213210099423527,0.7988796658929109,1.6121515876966808,-6.300540512109755,12.0,0.09090909090907964,285.0,2.4825268303860417,4.101220631108899,0.6982231424857033,5.344123372906943,1,14.465142534576536,25.06783060044704,0.8704178359762439,,,0.0,8.0,True
2018-01-23 15:20:00-05:00,2721,2018-01-23,long,7,eod,1.1453441759238236,1.1453441759238236,1.1453441759238236,False,close,5.670733878742967,1.4703253692230351,1.0774446465572314,3.782112432694312,1.0,0.12499999999998046,345.0,1.5277088186999377,-0.04140096701758465,0.6982231424857033,-5.344123372906943,1,-9.880028228651527,-5.0171172234669825,0.8766186830526852,,,0.0,8.0,True
2018-01-29 14:25:00-05:00,3022,2018-01-29,short,10,recross,-0.3773157755722335,-0.3773157755722335,-0.3773157755722335,False,close,5.30748260757528,1.0210546554610378,1.0662498357934445,-2.4587294493367438,18.0,0.13333333333335354,290.0,18.839433649645336,3.7027824600024637,0.9051396060291477,13.913435866581603,0,1.574885820778693,5.275807491647022,0.9115113669317183,,,0.0,2.0,True
2018-01-29 15:15:00-05:00,3032,2018-01-29,long,2,recross,-9.618648862733908,-9.618648862733908,-5.658028742783013,True,close,5.219149530094952,-0.7032254763324852,0.795179429746514,1.3254046329149318,10.0,0.18181818181825324,340.0,-19.204699502936847,-3.2641291990365926,0.9051396060291477,-13.913435866581603,0,2.262734272684419,4.107740156094053,0.8662639784090819,,,0.0,2.0,True
2018-01-29 15:25:00-05:00,3034,2018-01-29,short,6,eod,7.553440592191459,7.553440592191459,7.553440592191459,False,close,6.40087130215573,0.9136463721919865,1.6515912045489498,-7.063258106801449,2.0,0.07142857142857839,350.0,26.359391474619244,10.209263655593853,0.9051396060291477,13.913435866581603,0,6.653359946773296,4.694009270669319,0.907857192104929,,,0.0,2.0,True
2018-01-31 12:20:00-05:00,3153,2018-01-31,long,21,recross,-4.200236740616811,-4.200236740616811,-4.200236740616811,False,midday,6.248423506042178,-1.6075926156820364,0.8250606128254391,0.4500050989837945,2.0,0.14814814814815813,165.0,-43.155893536121326,-22.298921178790117,0.8375140159623766,91.70791604312905,2,4.079171396140779,13.608662209336764,0.9080544751729642,,,1.0,0.0,False
2018-02-01 13:45:00-05:00,3248,2018-02-01,short,26,eod,23.092043741293466,23.092043741293466,23.092043741293466,False,midday,6.646357039931403,2.074103797318542,1.7513185783499152,-5.526538612563883,32.0,0.06557377049180181,250.0,-80.01538757453295,-16.55259543710585,1.6506915237253914,54.70961818042723,3,18.02855091943334,22.112804788159135,0.9339755107266533,8.757605611129035,,0.0,48.0,True
2018-03-16 14:45:00-04:00,5600,2018-03-16,short,2,recross,-5.207247654935483,-5.207247654935483,-6.413853924477873,True,close,5.596428260067758,-0.47635427687876764,0.8594087183776219,-0.7505215006752621,1.0,0.16666666666666036,310.0,-37.414008126483765,-2.81149447016721,0.46282223254165133,18.070837683720868,4,-8.931175269757397,-9.346504559271107,0.9001341967314914,14.600284537523253,-0.6723401258193125,0.0,5.0,False
2018-03-16 14:55:00-04:00,5602,2018-03-16,long,5,recross,-8.804678737382657,-8.804678737382657,-8.412113443359893,True,close,5.647134302410357,-0.14529972800130064,1.2059836671018138,4.104618223364454,2.0,0.1176470588235184,320.0,42.24162207828826,7.408747523918505,0.46282223254165133,-18.070837683720868,4,3.005354996175047,1.1682584187622247,0.9142179910275743,14.600284537523253,-0.6723401258193125,0.0,5.0,True
2018-04-18 12:25:00-04:00,7288,2018-04-18,short,9,recross,-7.268615732515217,-7.268615732515217,-7.268615732515217,False,midday,6.510861879413157,-1.0775155052289564,1.1776672006307456,-1.6660415541113025,4.0,0.1052631578947381,170.0,3.4290785864131017,-0.39288200310018867,0.2688544360746348,-3.6321078332460313,2,-9.233610341643494,-22.238249789638953,0.9310852305672882,23.82430335242192,-0.11985312093438694,0.0,14.0,False
